time,EPL_tii2014.PLC.MN.NoEEE-Link Power
0.302625283862,18328
0.302625283862,18204
0.302625283862,18204
0.302625283862,18080
0.302625283862,18080
0.302625283862,17956
0.302625283862,17956
0.302625283862,17832
0.302625283862,17832
0.302625283862,17708
0.302625283862,17708
0.302625283862,17584
0.302625283862,17584
0.302625283862,17460
0.302632003861,17460
0.302632003861,17336
0.30264772386,17336
0.30264772386,17212
0.30265348386,17212
0.30265348386,17088
0.3120416,17088
0.3120416,17212
0.31208896,17212
0.31208896,17336
0.312137279999,17336
0.312137279999,19816
0.312137279999,19816
0.312137279999,21056
0.312137279999,21056
0.312137279999,21180
0.312179455999,21180
0.312179455999,21304
0.312184639999,21304
0.312184639999,21428
0.312185599998,21428
0.312185599998,21552
0.312185599998,21552
0.312185599998,21676
0.312185599998,21676
0.312185599998,21800
0.312185599998,21800
0.312185599998,21924
0.312185599998,21924
0.312185599998,22048
0.312185599998,22048
0.312185599998,22172
0.312185599998,22172
0.312185599998,22296
0.312185599998,22296
0.312185599998,22420
0.312185599998,22420
0.312185599998,22544
0.312185599998,22544
0.312185599998,22668
0.312185599998,22668
0.312185599998,22792
0.312185599998,22792
0.312185599998,22916
0.312185599998,22916
0.312185599998,23040
0.312185599998,23040
0.312185599998,23164
0.312185599998,23164
0.312185599998,23288
0.312185599998,23288
0.312185599998,23412
0.312185599998,23412
0.312185599998,23536
0.312185599998,23536
0.312185599998,23660
0.312185599998,23660
0.312185599998,23784
0.312185599998,23784
0.312185599998,23908
0.312185599998,23908
0.312185599998,24032
0.312185599998,24032
0.312185599998,24156
0.312185599998,24156
0.312185599998,24280
0.312185599998,24280
0.312185599998,24404
0.312185599998,24404
0.312185599998,24528
0.312185599998,24528
0.312185599998,24652
0.312185599998,24652
0.312185599998,24776
0.312185599998,24776
0.312185599998,24900
0.312185599998,24900
0.312185599998,25024
0.312185599998,25024
0.312185599998,25148
0.312226815999,25148
0.312226815999,25272
0.314609839862,25272
0.314609839862,25148
0.314610415862,25148
0.314610415862,25024
0.314616559861,25024
0.314616559861,24900
0.314617135861,24900
0.314617135861,24776
0.314619523862,24776
0.314619523862,24652
0.314619523862,24652
0.314619523862,24528
0.314619523862,24528
0.314619523862,24404
0.314619523862,24404
0.314619523862,24280
0.314619523862,24280
0.314619523862,24156
0.314619523862,24156
0.314619523862,24032
0.314619523862,24032
0.314619523862,23908
0.314619523862,23908
0.314619523862,23784
0.314619523862,23784
0.314619523862,23660
0.314619523862,23660
0.314619523862,23536
0.314619523862,23536
0.314619523862,23412
0.314619523862,23412
0.314619523862,23288
0.314619523862,23288
0.314619523862,23164
0.314619523862,23164
0.314619523862,23040
0.314619523862,23040
0.314619523862,22916
0.314619523862,22916
0.314619523862,22792
0.314619523862,22792
0.314619523862,22668
0.314619523862,22668
0.314619523862,22544
0.314619523862,22544
0.314619523862,22420
0.314619523862,22420
0.314619523862,22296
0.314619523862,22296
0.314619523862,22172
0.314619523862,22172
0.314619523862,22048
0.314619523862,22048
0.314619523862,21924
0.314619523862,21924
0.314619523862,21800
0.314619523862,21800
0.314619523862,21676
0.314619523862,21676
0.314619523862,21552
0.314619523862,21552
0.314619523862,21428
0.314619523862,21428
0.314619523862,21304
0.314619523862,21304
0.314619523862,21180
0.314619523862,21180
0.314619523862,21056
0.314625283862,21056
0.314625283862,20932
0.314625283862,20932
0.314625283862,20808
0.314625283862,20808
0.314625283862,20684
0.314625283862,20684
0.314625283862,20560
0.314625283862,20560
0.314625283862,20436
0.314625283862,20436
0.314625283862,20312
0.314625283862,20312
0.314625283862,20188
0.314625283862,20188
0.314625283862,20064
0.314625283862,20064
0.314625283862,19940
0.314625283862,19940
0.314625283862,19816
0.314625283862,19816
0.314625283862,19692
0.314625283862,19692
0.314625283862,19568
0.314625283862,19568
0.314625283862,19444
0.314625283862,19444
0.314625283862,19320
0.314625283862,19320
0.314625283862,19196
0.314625283862,19196
0.314625283862,19072
0.314625283862,19072
0.314625283862,18948
0.314625283862,18948
0.314625283862,18824
0.314625283862,18824
0.314625283862,18700
0.314625283862,18700
0.314625283862,18576
0.314625283862,18576
0.314625283862,18452
0.314625283862,18452
0.314625283862,18328
0.314625283862,18328
0.314625283862,18204
0.314625283862,18204
0.314625283862,18080
0.314625283862,18080
0.314625283862,17956
0.314625283862,17956
0.314625283862,17832
0.314625283862,17832
0.314625283862,17708
